event_type,current_char,timestamp,current_word,current_word_time,current_sentence,current_sentence_time,complete_text,current_complete_time,sentence_num,technique_used,participant_id
key pressed,"k",1559749550.819212,"wack",0.9816889762878418,"Jeder wack",2.604166030883789,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wack",23.92428493499756,2,none,2
key pressed,"e",1559749551.042411,"wacke",1.204888105392456,"Jeder wacke",2.8273651599884033,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wacke",24.147484064102173,2,none,2
key pressed,"r",1559749551.178556,"wacker",1.3410329818725586,"Jeder wacker",2.963510036468506,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wacker",24.283628940582275,2,none,2
key pressed,"e",1559749551.5421,"wackere",1.7045769691467285,"Jeder wackere",3.327054023742676,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere",24.647172927856445,2,none,2
key pressed,"SPACE",1559749552.295428,"wackere",2.4579050540924072,"Jeder wackere ",4.0803821086883545,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere ",25.400501012802124,2,none,2
word typed,"SPACE",1559749552.295428,"wackere",2.4579050540924072,"Jeder wackere ",4.0803821086883545,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere ",25.400501012802124,2,False,2
key pressed,"B",1559749552.8045619,"B",0.0,"Jeder wackere B",4.589515924453735,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere B",25.909634828567505,2,none,2
key pressed,"a",1559749553.016473,"Ba",0.21191120147705078,"Jeder wackere Ba",4.801427125930786,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Ba",26.121546030044556,2,none,2
key pressed,"y",1559749553.2812648,"Bay",0.4767029285430908,"Jeder wackere Bay",5.066218852996826,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bay",26.386337757110596,2,none,2
key pressed,"e",1559749553.631458,"Baye",0.8268961906433105,"Jeder wackere Baye",5.416412115097046,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Baye",26.736531019210815,2,none,2
key pressed,"r",1559749553.715327,"Bayer",0.9107651710510254,"Jeder wackere Bayer",5.500281095504761,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer",26.82039999961853,2,none,2
key pressed,"SPACE",1559749554.194547,"Bayer",1.3899850845336914,"Jeder wackere Bayer ",5.979501008987427,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer ",27.299619913101196,2,none,2
word typed,"SPACE",1559749554.194547,"Bayer",1.3899850845336914,"Jeder wackere Bayer ",5.979501008987427,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer ",27.299619913101196,2,False,2
key pressed,"v",1559749554.629372,"v",0.0,"Jeder wackere Bayer v",6.414325952529907,"Syliva wagt quick den Jux bei Pfortzheim.Jeder wackere Bayer v",27.734444856643677,2,none,2
